source,target
Copy only the comment text when using TikTok's copy comment action.,Salin teks komentarnya saja saat memakai aksi salin komentar milik TikTok.
Copy report,Salin laporan
Could not save settings backup.,Cadangan pengaturan tidak dapat disimpan.
Could not restore settings.,Pengaturan tidak dapat dipulihkan.
Could not tell which folder to update. Choose it again.,Tidak diketahui folder mana yang harus diubah. Pilih lagi.
Could not block %1$s,%1$s tidak bisa diblokir
Could not block %1$s: %2$s,%1$s tidak bisa diblokir: %2$s
Could not confirm block for %1$s,Pemblokiran %1$s tidak dapat dikonfirmasi
Could not confirm unblock for %1$s,Pembukaan blokir %1$s tidak dapat dikonfirmasi
Could not copy report. Use Save JSON.,Laporan tidak bisa disalin. Pakai Simpan JSON.
Could not open settings section,Bagian pengaturan tidak bisa dibuka
Could not read who posted this comment,Tidak bisa membaca siapa yang menulis komentar ini
Could not unblock %1$s,Blokir %1$s tidak bisa dibuka
Could not unblock %1$s: %2$s,Blokir %1$s tidak bisa dibuka: %2$s
Country and network preferences,Preferensi negara dan jaringan
Country ISO,ISO negara
Current: %1$s %2$s,Saat ini: %1$s %2$s
Use your own offline videos limit,Gunakan batas video offline Anda sendiri
Custom SIM details,Detail SIM khusus
Dark,Gelap
day,hari
days,hari
"Days to remember a video. Zero removes the age limit. History keeps at most 10,000 videos.",Jumlah hari sebuah video diingat. Nol menghapus batas usia. Riwayat menyimpan paling banyak 10.000 video.
Default playback speed,Kecepatan pemutaran bawaan
Delete the local record of the videos you have watched.,Hapus catatan di perangkat tentang video yang sudah kamu tonton.
"Device language, then original","Bahasa perangkat, lalu bahasa asli"
Diagnostics,Diagnostik
Disable analytics and tracking,Matikan analitik dan pelacakan
Disable the long press quick share,Matikan bagikan cepat lewat tekan lama
Disable the long press repost,Matikan repost lewat tekan lama
Dismissed %1$s suggested accounts,%1$s akun saran dihapus
Dismissed one suggested account,Satu akun saran dihapus
Do nothing,Tidak melakukan apa pun
Double tap,Ketuk dua kali
Download original photos,Unduh foto asli
Download path updated,Lokasi unduhan diperbarui
Downloads,Unduhan
"Drag to move, release to place","Seret untuk memindahkan, lepaskan untuk menempatkan"
"Drop the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.","Buang notifikasi yang memberi tahu ada orang baru yang mengikutimu sebelum masuk ke laci notifikasi. Notifikasi lain tidak terpengaruh, dan pengikutnya tetap muncul di Kotak Masuk."
Enable diagnostic logging,Aktifkan pencatatan diagnostik
Enable hold-and-slide 2x lock,Aktifkan kunci 2x tahan lalu geser
Enter a valid two-letter country code,Masukkan kode negara dua huruf yang sah
Enter up to 8 comma-separated speeds from 0.5 to 3,"Masukkan sampai 8 kecepatan dari 0.5 hingga 3, dipisahkan koma"
Expand activity list,Bentangkan daftar aktivitas
Export diagnostic report,Ekspor laporan diagnostik
Feature Gate Lab,Feature Gate Lab
Feed filter,Filter feed
Feed navigation,Navigasi feed
Filter bottom tabs,Filter tab bawah
Filter comments by keyword,Filter komentar berdasarkan kata kunci
Filter feed tabs,Filter tab feed
Filter offline fallback videos,Filter video offline cadangan
"Filters, translation and copy options","Filter, terjemahan, dan opsi salin"
Fit the video to the screen,Sesuaikan video dengan layar
This phone has no folder picker. Type the folder into the row instead.,Ponsel ini tidak punya pemilih folder. Ketik saja foldernya di baris itu.
For You,Untuk Kamu
Forget seen videos after,Lupakan video yang sudah ditonton setelah
Ghost mode,Mode siluman
GIF,GIF
Hidden commenters,Pengomentar yang disembunyikan
Hide activity,Sembunyikan aktivitas
Hide activity status,Sembunyikan status aktivitas
Hide the add people icon,Sembunyikan ikon tambah orang
Hide AI generated videos,Sembunyikan video buatan AI
Hide archive,Sembunyikan arsip
Hide bottom tabs TikTok adds later unless you allow them.,"Sembunyikan tab bawah yang TikTok tambahkan kemudian, kecuali kamu mengizinkannya."
"Hide browsing and LIVE puzzle dialogs. Login, account verification and any puzzle raised over a follow, like, comment or repost stay visible.","Sembunyikan dialog teka-teki saat menjelajah dan saat LIVE. Teka-teki untuk masuk, verifikasi akun, dan yang muncul saat mengikuti, menyukai, berkomentar, atau membagikan ulang tetap terlihat."
Hide CAPTCHA popups,Sembunyikan popup CAPTCHA
Hide comment popup ads,Sembunyikan iklan popup di komentar
Hide comments made of an image or a sticker instead of words.,"Sembunyikan komentar yang berupa gambar atau stiker, bukan kata-kata."
"Hide comments that contain any of the words below, or that come from the accounts below.","Sembunyikan komentar yang memuat salah satu kata di bawah, atau yang berasal dari akun di bawah."
Hide controls after each video starts. Tap to restore them.,Sembunyikan kontrol setelah tiap video mulai. Ketuk untuk memunculkannya lagi.
Hide conversations,Sembunyikan percakapan
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still switched on.,Sembunyikan semua percakapan pesan langsung. Kotak Masuk jadi kosong kecuali apa pun yang masih kamu aktifkan.
Hide the follow button on the feed,Sembunyikan tombol ikuti di feed
Hide feed save button,Sembunyikan tombol simpan di feed
Hide feed search button,Sembunyikan tombol cari di feed
"Hide floating promotion badges, coins, and timer banners on the homepage.","Sembunyikan lencana promosi mengambang, koin, dan spanduk penghitung waktu di beranda."
Hide floating promotions,Sembunyikan promosi mengambang
Hide photo posts,Sembunyikan publikasi foto
Hide the photo posts from the feed.,Sembunyikan publikasi foto dari feed.
Hide inserted cards,Sembunyikan kartu sisipan
Hide the LIVE button,Sembunyikan tombol LIVE
Hide LIVE replays,Sembunyikan tayangan ulang LIVE
Hide LIVE videos,Sembunyikan video LIVE
Hide the LIVE videos from the feed.,Sembunyikan video LIVE dari feed.
Hide message requests,Sembunyikan permintaan pesan
Hide message streaks,Sembunyikan rentetan pesan
Hide new follower notifications,Sembunyikan notifikasi pengikut baru
Hide new followers,Sembunyikan pengikut baru
Hide paid partnerships,Sembunyikan kemitraan berbayar
Hide people and options by name,Sembunyikan orang dan opsi berdasarkan nama
Hide picture comments,Sembunyikan komentar bergambar
Hide playlist videos,Sembunyikan video playlist
Hide promotional music,Sembunyikan musik promosi
Hide quick comment reactions,Sembunyikan reaksi komentar cepat
Hide rows by title,Sembunyikan baris berdasarkan judul
Hide search,Sembunyikan pencarian
Hide search suggestions,Sembunyikan saran pencarian
Hide Series,Sembunyikan Series
Hide sharing apps,Sembunyikan aplikasi berbagi
Hide stories tray,Sembunyikan deret Story
Hide story,Sembunyikan Story
Hide the stories from the feed.,Sembunyikan stories dari feed.
Hide suggested account rows.,Sembunyikan baris akun yang disarankan.
Hide suggested accounts,Sembunyikan akun yang disarankan
Hide surveys,Sembunyikan survei
Hide tabs TikTok adds later unless you allow them.,"Sembunyikan tab yang TikTok tambahkan kemudian, kecuali kamu mengizinkannya."
Hide Tako AI,Sembunyikan Tako AI
"Hide the ""Search this image"" prompt TikTok shows over videos when it spots something to shop for.","Sembunyikan ajakan ""Cari gambar ini"" yang TikTok tampilkan di atas video saat menemukan sesuatu yang bisa dibeli."
Hide the right column,Sembunyikan kolom kanan
Hide the Activity row of likes and comments on your posts.,Sembunyikan baris Aktivitas berisi suka dan komentar pada unggahanmu.
Hide the activity status control in the Inbox header.,Sembunyikan kontrol status aktivitas di header Kotak Masuk.
Hide the add people icon in the Inbox header.,Sembunyikan ikon tambah orang di header Kotak Masuk.
Hide the Archive row.,Sembunyikan baris Arsip.
Hide the arrow and its count in the right column.,Sembunyikan ikon panah dan angkanya di kolom kanan.
Hide the avatar and follow button,Sembunyikan foto profil dan tombol ikuti
Hide the caption,Sembunyikan keterangan
Hide the comments button,Sembunyikan tombol komentar
Hide the counts on the right column,Sembunyikan angka di kolom kanan
Hide the creator's picture and the plus button at the top of the right column. Hide the follow button on the feed hides the plus button on its own.,Sembunyikan foto kreator dan tombol plus di atas kolom kanan. Sembunyikan tombol ikuti di feed hanya menyembunyikan tombol plusnya saja.
Hide the description under the creator's name on the feed.,Sembunyikan deskripsi di bawah nama kreator pada feed.
Hide the event badge,Sembunyikan lencana acara
Hide the favorite button,Sembunyikan tombol favorit
Hide the favorite button and its count in the right column.,Sembunyikan tombol favorit dan angkanya di kolom kanan.
Hide the floating promotional badge over the feed.,Sembunyikan lencana promosi yang mengambang di atas feed.
Hide the friend recommendation card and the other cards TikTok slots between videos.,Sembunyikan kartu rekomendasi teman dan kartu lain yang TikTok selipkan di antara video.
Hide the heart and its count in the right column.,Sembunyikan ikon hati dan angkanya di kolom kanan.
Hide the like button,Sembunyikan tombol suka
Hide the LIVE button in the top left corner of the feed.,Sembunyikan tombol LIVE di pojok kiri atas feed.
Hide the Message requests row.,Sembunyikan baris Permintaan pesan.
Hide the music disc,Sembunyikan piringan musik
Hide the music line,Sembunyikan baris musik
Hide the New followers row.,Sembunyikan baris Pengikut baru.
"Hide the numbers under the like, comment, favorite and share buttons. The buttons stay.","Sembunyikan angka di bawah tombol suka, komentar, favorit dan bagikan. Tombolnya tetap ada."
Hide the playlist bar,Sembunyikan bilah playlist
Hide the playlist bar along the bottom of videos that belong to a series.,Sembunyikan bilah playlist di bagian bawah video yang termasuk sebuah seri.
Hide the plus button under the creator's picture in the right column. Hide the avatar and follow button hides the picture with it.,Sembunyikan tombol plus di bawah foto kreator pada kolom kanan. Sembunyikan foto profil dan tombol ikuti ikut menyembunyikan fotonya.
Hide the question cards TikTok slides over a video near its end.,Sembunyikan kartu pertanyaan yang TikTok munculkan menjelang akhir video.
Hide the row of story avatars across the top of the Inbox.,Sembunyikan baris foto profil Story di bagian atas Kotak Masuk.
Hide the save button in the right column.,Sembunyikan tombol simpan di kolom kanan.
Hide the search button in the top right corner of the feed.,Sembunyikan tombol cari di pojok kanan atas feed.
Hide the search icon in the Inbox header.,Sembunyikan ikon cari di header Kotak Masuk.
Hide the searches TikTok offers before you type. Your own search history stays.,Sembunyikan pencarian yang ditawarkan TikTok sebelum kamu mengetik. Riwayat pencarianmu sendiri tetap ada.
Hide the Send to row,Sembunyikan baris Kirim ke
Hide the share button,Sembunyikan tombol bagikan
Hide the speech bubble and its count in the right column.,Sembunyikan gelembung komentar dan angkanya di kolom kanan.
Hide the spinning music cover and the track name beside the caption.,Sembunyikan sampul musik yang berputar dan nama lagu di samping keterangan.
Hide the spinning record at the bottom of the right column.,Sembunyikan piringan yang berputar di bagian bawah kolom kanan.
Hide the status bar,Sembunyikan bilah status
Hide the Tako AI feed bubble above the profile button.,"Sembunyikan gelembung Tako AI di feed, tepat di atas tombol profil."
Hide the TikTok Tako assistant conversation.,Sembunyikan percakapan asisten TikTok Tako.
"Hide the whole column on the right, from the avatar down to the music disc.","Sembunyikan seluruh kolom kanan, dari avatar sampai piringan musik."
Hide TikTok Shop,Sembunyikan TikTok Shop
Hide TikTok Shop posts from the feed.,Sembunyikan kiriman TikTok Shop dari feed.
Hide TikTok Shop updates and coupon messages.,Sembunyikan info terbaru TikTok Shop dan pesan kupon.
Hide TikTok Tako,Sembunyikan TikTok Tako
Hide TikTok's exposed quick emoji row in supported comment inputs.,Sembunyikan baris emoji cepat yang TikTok tampilkan di kolom komentar yang mendukungnya.
Hide verified accounts,Sembunyikan akun terverifikasi
Hide video actions,Sembunyikan aksi video
Hide videos carrying TikTok's AI generated label.,Sembunyikan video yang membawa label buatan AI dari TikTok.
Hide videos marked as paid partnership or branded content.,Sembunyikan video yang ditandai sebagai kemitraan berbayar atau konten bermerek.
Hide videos posted as part of a playlist.,Sembunyikan video yang diunggah sebagai bagian dari playlist.
Hide videos posted by verified accounts.,Sembunyikan video yang diunggah akun terverifikasi.
Hide videos that belong to a paid Series.,Sembunyikan video yang termasuk Series berbayar.
"Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if a whole batch would go.","Sembunyikan video dengan banyak penayangan dan sedikit suka. Angka lebih kecil lebih ketat, nol mematikan aturannya, dan satu video disisakan kalau satu batch penuh akan hilang."
Hide videos you have already seen,Sembunyikan video yang sudah kamu tonton
Hide visual search prompt,Sembunyikan ajakan pencarian visual
Highest,Tertinggi
Home,Beranda
How far each edge press moves the video.,Seberapa jauh setiap tekanan di tepi memindahkan video.
Hushfeed cannot read the creator pattern %1$s,Hushfeed tidak bisa membaca pola kreator %1$s
Hushfeed hid a TikTok puzzle. Turn off Hide CAPTCHA popups if something stops working.,Hushfeed menyembunyikan satu teka-teki TikTok. Matikan Sembunyikan popup CAPTCHA kalau ada yang berhenti berfungsi.
"Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.","Abaikan pilihan pembuat video supaya entri Duet dan Stitch muncul. Semua pemeriksaan lain di aplikasi tetap berlaku, dan diterima atau tidaknya unggahan adalah keputusan server."
Inbox,Kotak Masuk
Included diagnostics,Diagnostik yang disertakan
Includes all diagnostic events.,Termasuk semua peristiwa diagnostik.
Interface,Tampilan
Invalid SIM preset,Pratata SIM tidak sah
Keep a local record of what you have watched and drop those videos from later feed pages.,Simpan catatan tontonanmu di perangkat dan buang video itu dari halaman feed berikutnya.
"Keep automatic advance enabled, and show TikTok's own Auto scroll action in the video panel even if your account never had it. Pauses and open dialogs still stop scrolling. Restart TikTok to apply this, then use this switch to turn it off.","Biarkan lanjut otomatis tetap aktif dan tampilkan aksi Auto scroll milik TikTok di panel video meski akun Anda tidak pernah punya. Jeda dan dialog terbuka tetap menghentikan guliran. Mulai ulang TikTok agar berlaku, lalu pakai sakelar ini untuk mematikannya."
Keep captions in clear display,Pertahankan keterangan saat tampilan bersih
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.,Sembunyikan jam dan ikon status selama TikTok terbuka. Geser dari atas untuk mengintipnya.
Keep the screen's refresh rate,Pertahankan laju penyegaran layar
Leave maximum empty to keep it unlimited.,Kosongkan nilai maksimum agar tetap tanpa batas.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.,Hilangkan suara dari video yang disimpan. Simpan suaranya juga tetap menulis berkas .m4a di sebelahnya kalau kamu mau keduanya.
"Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.","Izinkan lagi tangkapan layar, perekaman layar dan Circle to Search di TikTok. Mulai ulang TikTok agar berlaku."
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.,"Biarkan menu Video offline memakai batas Anda sendiri, bukan batas tetap TikTok. Mulai ulang TikTok agar berlaku."
"Links, privacy and player tools","Tautan, privasi, dan perkakas pemutar"
Long press,Tekan lama
Lowest,Terendah
Make TikTok yours.,Jadikan TikTok milikmu.
Marked as not interested,Ditandai tidak tertarik
Match locale and timezone to country,Samakan lokal dan zona waktu dengan negara
Maximum,Maksimum
Maximum video length,Durasi video maksimum
Maximum views per like,Tayangan maksimum per suka
Media,Media
Min/Max comments,Komentar min/maks
Min/Max favorites,Min/Maks favorit
Min/Max likes,Suka min/maks
Min/Max shares,Bagikan min/maks
Min/Max views,Tayangan min/maks
Minimum,Minimum
ms,ms
Never from these countries,Tidak pernah dari negara ini
No account to block on this video,Tidak ada akun untuk diblokir di video ini
No limit,Tanpa batas
No matching countries,Tidak ada negara yang cocok
No preset selected,Tidak ada praset yang dipilih
No sound to block on this video,Tidak ada suara untuk diblokir di video ini
Not interested in this video,Tidak tertarik dengan video ini
No suggested accounts to clear,Tidak ada akun saran yang bisa dihapus
No video selected,Tidak ada video yang dipilih
Show the Not interested button,Tampilkan tombol Tidak tertarik
Nothing is playing to seek,Tidak ada yang diputar untuk dilompati
Offline videos limit,Batas video offline
On mobile data,Saat memakai data seluler
Only enable when recording logs to report an issue. Leaving it on for too long can make TikTok feel laggy and may lead to crashes.,Aktifkan hanya saat merekam log untuk melaporkan masalah. Membiarkannya menyala terlalu lama bisa membuat TikTok terasa berat dan berpotensi mogok.
Only from these countries,Hanya dari negara ini
Only internal storage folders are supported,Hanya folder penyimpanan internal yang didukung
Open comments,Buka komentar
Open external links directly,Buka tautan luar secara langsung
Open profile and story website links in your system browser instead of TikTok's in-app browser.,"Buka tautan situs di profil dan Story lewat peramban sistemmu, bukan peramban dalam aplikasi TikTok."
Open the profile again and try once more,Buka lagi profilnya dan coba sekali lagi
Open the story again and try once more,Buka lagi Story-nya dan coba sekali lagi
Open TikTok home feed to detect loaded tabs.,Buka feed beranda TikTok untuk mendeteksi tab yang dimuat.
Open TikTok home to detect loaded bottom tabs.,Buka beranda TikTok untuk mendeteksi tab bawah yang dimuat.
Operator MCC/MNC,MCC/MNC operator
Operator name,Nama operator
or,atau
Original language,Bahasa asli
Override SIM details,Timpa detail SIM
Override store region (experimental),Timpa wilayah toko (eksperimental)
"People, shortcuts and sending controls","Orang, pintasan, dan kontrol pengiriman"
Photo,Foto
Photo destination,Lokasi simpan foto
Photo filename,Nama berkas foto
Play videos TikTok has classified without the overlay asking to be tapped through first.,Putar video yang diklasifikasi TikTok tanpa lapisan yang harus diketuk lebih dulu.
Playback,Pemutaran
Press and hold a profile picture to save the full size original to your photo destination.,Tekan dan tahan foto profil untuk menyimpan aslinya dalam ukuran penuh ke lokasi simpan fotomu.
"Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.","Tekan dan tahan Story untuk menyimpannya. Story tidak punya tombol simpan sendiri, dan menahannya adalah cara TikTok menjeda, jadi gestur itu diambil alih."
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.,Tekan dan tahan sepertiga kiri atau kanan layar untuk melompat mundur atau maju. Sepertiga bagian tengah tetap memakai aksi Tekan lama.
Profile picture saved to %1$s,Foto profil disimpan ke %1$s
"Put a box above the comments that narrows them to the ones matching what you type, by what they say or who said it. Clearing the box brings the rest back.","Kotak di atas komentar yang mempersempit ke komentar yang cocok dengan ketikanmu, berdasarkan isinya atau siapa yang menulis. Mengosongkan kotaknya mengembalikan sisanya."
"Quality, files, subtitles and hand-off","Kualitas, berkas, subtitel, dan penerusan"
"Quality, speed and automatic advance","Kualitas, kecepatan, dan lanjut otomatis"
Recorded gate reads (%1$d),Pembacaan gate yang terekam (%1$d)
"Recording gate reads. Use a feature, then return here to stop.","Merekam pembacaan gate. Pakai sebuah fitur, lalu kembali ke sini untuk berhenti."
